person_id,first_name,last_name,home_address,admin_address,admin_city,has_car,car_type,car_model,car_capacity,fiscal_hp
27,Théophile,De Sousa,"24, rue Becker, 44713 Collin","Université de Franche-Comté, Besançon",Besançon,True,gasoline,Audi A4,5,8
28,Suzanne,Vallet,"rue de Bourgeois, 33835 Maréchal-sur-Morvan","Université de Franche-Comté, Belfort",Belfort,False,,,,
29,Nicolas,Allard,"495, chemin Emmanuelle Lopes, 73862 Briand-sur-Mer","Université de Franche-Comté, Besançon",Besançon,True,hybrid,Toyota Prius,5,7
30,Inès,Morin,"3, rue de Charpentier, 09785 Marieboeuf","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,
31,Sébastien,Perrier,"35, rue de Da Costa, 29804 Voisin","Université de Franche-Comté, Belfort",Belfort,False,,,,
32,Chantal,Voisin,"38, chemin Claudine Legendre, 04871 Hoareau","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,
33,Laure,Merle,"973, rue Gérard Chauvin, 24636 Becker","Université de Franche-Comté, Belfort",Belfort,True,diesel,Renault Clio,5,5
34,Jeanne,Guillet,"772, rue de Klein, 51450 Gilles","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Renault Clio,5,8
35,Gabriel,Cohen,"69, rue Gautier, 32140 Arnaud","Université de Franche-Comté, Belfort",Belfort,True,diesel,Renault Clio,5,4
36,Brigitte,Boucher,"56, chemin de Perrin, 48946 Sainte Alice-la-Forêt","Université de Franche-Comté, Montbéliard",Montbéliard,True,gasoline,Fiat Panda,4,10
37,Juliette,Raymond,"rue Alix Moreno, 89788 Meunier-les-Bains","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Renault Clio,5,8
38,Aurore,Richard,"10, boulevard Maury, 86260 Rousseau-sur-Mer","Université de Franche-Comté, Belfort",Belfort,False,,,,
39,Étienne,Hoareau,"28, boulevard de Perrot, 90623 Techer-sur-Mer","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Audi A4,5,4
40,Astrid,Louis,"96, boulevard de Lamy, 40682 Huet-les-Bains","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,
41,Alexandre,Nicolas,"41, avenue de Guillaume, 47749 Fabre-la-Forêt","Université de Franche-Comté, Belfort",Belfort,True,diesel,Renault Clio,5,6
42,Emmanuelle,Marty,"6, rue Weber, 50274 Maillotboeuf","Université de Franche-Comté, Besançon",Besançon,False,,,,
43,Alfred,Andre,"14, rue Élisabeth Riou, 05385 Gautierboeuf","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,
44,Hortense,Benard,"7, avenue Hamel, 33966 Sainte Éléonore-la-Forêt","Université de Franche-Comté, Besançon",Besançon,True,gasoline,Audi A4,5,6
45,Danielle,Léger,"74, rue Charles Navarro, 95376 Bazin-sur-Humbert","Université de Franche-Comté, Belfort",Belfort,False,,,,
46,Gilles,Barthelemy,"45, rue Céline Legros, 36234 Leroy","Université de Franche-Comté, Montbéliard",Montbéliard,True,gasoline,Audi A4,5,8
47,Patricia,Rocher,"64, rue Delorme, 26269 Étienneboeuf","Université de Franche-Comté, Besançon",Besançon,True,diesel,Peugeot 208,5,9
48,David,Henry,"95, rue Claude Labbé, 59337 Diallo-sur-Collin","Université de Franche-Comté, Belfort",Belfort,False,,,,
49,Adélaïde,Lambert,"33, rue de Laporte, 63764 Leroy","Université de Franche-Comté, Belfort",Belfort,True,hybrid,Toyota Prius,5,6
50,Philippine,Lecomte,"65, chemin de Ollivier, 70379 Cordier","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Audi A4,5,4
51,Jean,Turpin,"8, chemin de Julien, 57834 Marchal","Université de Franche-Comté, Besançon",Besançon,False,,,,
52,Alain,Jacquet,"96, rue Lorraine Simon, 80728 Saint Suzannenec","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Fiat Panda,4,9
53,Mathilde,Meunier,"14, rue de Boulay, 90269 Chevallier-sur-Millet","Université de Franche-Comté, Belfort",Belfort,True,hybrid,Toyota Prius,5,5
54,Juliette,Maillot,"45, rue Dupont, 22154 Devaux","Université de Franche-Comté, Belfort",Belfort,True,hybrid,Toyota Prius,5,8
55,Édouard,De Sousa,"21, avenue Letellier, 01917 Martins-les-Bains","Université de Franche-Comté, Belfort",Belfort,True,diesel,Renault Clio,5,7
56,Maggie,Weiss,"34, avenue Victor Dias, 88211 Saint Alfred-la-Forêt","Université de Franche-Comté, Besançon",Besançon,True,diesel,Peugeot 208,5,7
57,Roger,Blanc,"63, rue Jules Andre, 49463 Moreaunec","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,
58,Luc,Letellier,"rue Augustin Traore, 76587 Guichard","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Peugeot 208,5,5
59,Maggie,Lombard,"59, rue de Grenier, 28853 Henry-sur-Mer","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Renault Clio,5,10
60,Joséphine,Bernier,"rue Masse, 01502 Monnier","Université de Franche-Comté, Besançon",Besançon,True,gasoline,Fiat Panda,4,4
61,Audrey,Julien,"rue de Joseph, 63974 Renaud","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,
62,Jeannine,Morvan,"70, rue de Roux, 20708 Sainte Hugues","Université de Franche-Comté, Belfort",Belfort,False,,,,
63,Josette,Marie,"84, boulevard André Guillaume, 91816 Saint Denis-sur-Mer","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,
64,Matthieu,Jacquot,"97, avenue de Chauvet, 78472 Bourdon","Université de Franche-Comté, Belfort",Belfort,False,,,,
65,Patricia,Grondin,"2, rue Gilles Moulin, 80359 Gosselin-la-Forêt","Université de Franche-Comté, Montbéliard",Montbéliard,True,gasoline,Fiat Panda,4,8
66,Clémence,Grondin,"5, boulevard de Dupont, 82322 Rousseau","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Peugeot 208,5,7
67,Audrey,Blot,"68, boulevard de Laroche, 20223 Boucher","Université de Franche-Comté, Montbéliard",Montbéliard,True,hybrid,Toyota Prius,5,10
68,Gabriel,Bourdon,"22, chemin de Royer, 58401 Gérard","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,
69,Yves,Pruvost,"6, boulevard Chauvet, 56229 GautierBourg","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,
70,Lucie,Traore,"5, rue de Pons, 85910 Saint Hélène","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Peugeot 208,5,8
71,Laurent,Vallée,"chemin Lelièvre, 11298 Bertin-les-Bains","Université de Franche-Comté, Belfort",Belfort,False,,,,
72,Virginie,Petitjean,"chemin Jeannine Legrand, 78229 Fernandes-sur-Blanc","Université de Franche-Comté, Besançon",Besançon,True,gasoline,Fiat Panda,4,7
73,Anaïs,Grondin,"chemin Robert Techer, 08588 Chauvet","Université de Franche-Comté, Besançon",Besançon,False,,,,
74,Michelle,Rodriguez,"33, rue Dominique Bouvet, 20810 Sainte Éléonore","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Fiat Panda,4,6
75,Stéphanie,Ledoux,"866, chemin Marc Lefort, 67503 Marchand","Université de Franche-Comté, Montbéliard",Montbéliard,True,hybrid,Toyota Prius,5,7
76,Élodie,Legrand,"571, avenue Langlois, 89995 Saint Jérôme","Université de Franche-Comté, Belfort",Belfort,True,diesel,Peugeot 208,5,5
77,Nathalie,Legros,"16, rue Susanne Lenoir, 87121 Antoine","Université de Franche-Comté, Belfort",Belfort,True,electric,Tesla Model 3,5,7
78,Éric,Neveu,"chemin Tanguy, 41311 Sainte Louise","Université de Franche-Comté, Belfort",Belfort,True,electric,Tesla Model 3,5,10
79,Richard,Petit,"272, boulevard Vidal, 10838 Chrétienboeuf","Université de Franche-Comté, Montbéliard",Montbéliard,True,gasoline,Audi A4,5,10
80,Henriette,Mendès,"319, avenue Bernard Delorme, 43162 Lambert-sur-Leconte","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Audi A4,5,5
81,Léon,Rodrigues,"64, boulevard Brunel, 64259 Jacques","Université de Franche-Comté, Belfort",Belfort,False,,,,
82,Martin,Poulain,"7, rue Clément, 86879 Da Silva-sur-Besson","Université de Franche-Comté, Belfort",Belfort,True,diesel,Peugeot 208,5,8
83,Lucas,Royer,"1, avenue Richard Aubry, 29905 Sainte Anne","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Fiat Panda,4,10
84,Théodore,Ferrand,"11, boulevard de Prévost, 27360 Jean-sur-Mer","Université de Franche-Comté, Besançon",Besançon,True,electric,Tesla Model 3,5,5
85,Juliette,Ramos,"3, rue Zoé Denis, 65432 Rouxnec","Université de Franche-Comté, Besançon",Besançon,False,,,,
86,Adrienne,Dubois,"47, chemin Maillard, 45425 Gillet-sur-Hamel","Université de Franche-Comté, Belfort",Belfort,False,,,,
87,Anouk,Philippe,"36, boulevard Fontaine, 17171 Maryboeuf","Université de Franche-Comté, Belfort",Belfort,True,diesel,Peugeot 208,5,9
88,Emmanuelle,Lefèvre,"830, boulevard Lefort, 82891 Vallée","Université de Franche-Comté, Besançon",Besançon,True,hybrid,Toyota Prius,5,4
89,Sylvie,Morel,"593, chemin Juliette Lejeune, 80667 Rey","Université de Franche-Comté, Besançon",Besançon,True,gasoline,Fiat Panda,4,8
90,Gilbert,Lopez,"986, boulevard de Roux, 60701 De Oliveira-les-Bains","Université de Franche-Comté, Besançon",Besançon,False,,,,
91,Élise,Girard,"41, avenue de Bertrand, 78955 Sainte Marcel","Université de Franche-Comté, Belfort",Belfort,False,,,,
92,Patricia,Henry,"chemin de Diallo, 11838 Bodin-sur-Jacob","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,
93,Zoé,Menard,"avenue Gilles Neveu, 97326 Charpentier","Université de Franche-Comté, Belfort",Belfort,False,,,,
94,Thomas,Costa,"1, chemin de Rey, 86560 Lebon","Université de Franche-Comté, Montbéliard",Montbéliard,True,gasoline,Fiat Panda,4,5
95,Agnès,Breton,"1, boulevard Germain, 90123 Simon","Université de Franche-Comté, Belfort",Belfort,False,,,,
96,Alexandre,Mercier,"57, chemin de Hardy, 10760 Morin-sur-Mer","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Peugeot 208,5,6
97,Emmanuel,Pelletier,"84, chemin Marguerite Perez, 21899 Fernandes-sur-Collet","Université de Franche-Comté, Montbéliard",Montbéliard,True,gasoline,Audi A4,5,5
98,Nicolas,Léger,"69, chemin Michel Morvan, 42321 Lefèvre","Université de Franche-Comté, Besançon",Besançon,True,gasoline,Fiat Panda,4,4
99,Christine,Garcia,"rue de Noël, 23723 Munoz","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Peugeot 208,5,9
100,Philippe,Legendre,"5, boulevard de Baudry, 56472 Mace-sur-Guillot","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,
101,Margot,Guillon,"677, rue Valérie Blin, 30704 Peltier-sur-Mer","Université de Franche-Comté, Besançon",Besançon,True,hybrid,Toyota Prius,5,10
102,Sylvie,Berger,"50, chemin Munoz, 21868 Sainte Juliette-les-Bains","Université de Franche-Comté, Besançon",Besançon,False,,,,
103,Odette,Gaillard,"boulevard Lucy Tanguy, 12507 Dupontdan","Université de Franche-Comté, Belfort",Belfort,True,hybrid,Toyota Prius,5,7
104,Charles,Moreno,"2, avenue de Becker, 35947 Saint Amélie-la-Forêt","Université de Franche-Comté, Montbéliard",Montbéliard,True,electric,Tesla Model 3,5,9
105,Alix,Fernandes,"7, boulevard Brunet, 91743 Laroche","Université de Franche-Comté, Belfort",Belfort,True,electric,Tesla Model 3,5,10
106,Étienne,Merle,"4, rue Seguin, 07637 Sainte Édithdan","Université de Franche-Comté, Belfort",Belfort,False,,,,
107,Virginie,Turpin,"1, chemin de Brun, 73653 Sainte Laure","Université de Franche-Comté, Belfort",Belfort,False,,,,
108,Stéphanie,Raymond,"4, boulevard Chantal Klein, 33582 Vincent-sur-Lefèvre","Université de Franche-Comté, Besançon",Besançon,False,,,,
109,Grégoire,Marion,"rue de Le Roux, 77877 Laroche","Université de Franche-Comté, Belfort",Belfort,False,,,,
110,Benjamin,Mallet,"25, rue Imbert, 39575 Lemaire","Université de Franche-Comté, Besançon",Besançon,True,hybrid,Toyota Prius,5,10
111,Thérèse,Hernandez,"7, chemin de Simon, 66177 Saint Marine","Université de Franche-Comté, Besançon",Besançon,False,,,,
112,Josette,Vaillant,"3, avenue de Vaillant, 95603 Hamon","Université de Franche-Comté, Besançon",Besançon,False,,,,
113,Sylvie,Evrard,"634, boulevard de Adam, 58967 Colas","Université de Franche-Comté, Belfort",Belfort,False,,,,
114,Aimée,Simon,"91, boulevard Evrard, 25696 Delorme","Université de Franche-Comté, Besançon",Besançon,True,gasoline,Fiat Panda,4,10
115,Aimée,Nguyen,"25, rue de Chauvin, 74497 Maillet","Université de Franche-Comté, Montbéliard",Montbéliard,True,gasoline,Audi A4,5,8
116,Xavier,Carlier,"avenue Lambert, 70446 Voisin-sur-Hervé","Université de Franche-Comté, Besançon",Besançon,True,gasoline,Audi A4,5,4
117,Henriette,Bègue,"881, rue Moreau, 47363 Salmon-sur-Mary","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Renault Clio,5,7
118,Monique,Guillou,"6, rue de Albert, 42298 Augerboeuf","Université de Franche-Comté, Besançon",Besançon,True,hybrid,Toyota Prius,5,5
119,Céline,Royer,"1, avenue Cécile Gomez, 07861 Diallo-sur-Camus","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,
120,Margot,Pichon,"96, avenue Louise Thomas, 06525 Sainte Tristan-sur-Mer","Université de Franche-Comté, Besançon",Besançon,False,,,,
121,Amélie,Lemonnier,"39, boulevard de Chauvin, 20548 Adam","Université de Franche-Comté, Montbéliard",Montbéliard,True,gasoline,Audi A4,5,7
122,Gilbert,Hebert,"37, avenue Robert Lebon, 53873 Legendre-sur-Mer","Université de Franche-Comté, Belfort",Belfort,True,diesel,Renault Clio,5,4
123,Victoire,Vincent,"9, chemin Fontaine, 74754 Roger-sur-Maréchal","Université de Franche-Comté, Besançon",Besançon,True,diesel,Peugeot 208,5,7
124,Nathalie,Guillet,"656, rue Isaac Bouchet, 51307 Dufourdan","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Fiat Panda,4,7
125,Eugène,Antoine,"64, rue Rémy Coste, 73254 Petit-la-Forêt","Université de Franche-Comté, Belfort",Belfort,True,hybrid,Toyota Prius,5,6
126,Arthur,Berthelot,"avenue Richard Cordier, 43513 Buissonnec","Université de Franche-Comté, Belfort",Belfort,True,diesel,Renault Clio,5,9
127,Michèle,Masse,"27, chemin de Michel, 46826 Roger","Université de Franche-Comté, Belfort",Belfort,False,,,,
128,Agathe,Raynaud,"29, chemin Morvan, 18886 Lambert","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,
129,Hortense,Ledoux,"1, rue de Godard, 68685 ReynaudBourg","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Audi A4,5,4
130,René,Moreno,"boulevard Jacques, 33991 Grégoire-la-Forêt","Université de Franche-Comté, Belfort",Belfort,False,,,,
131,Renée,Gros,"rue Christiane Hoareau, 35855 Lenoirdan","Université de Franche-Comté, Montbéliard",Montbéliard,True,hybrid,Toyota Prius,5,5
132,Michelle,Monnier,"795, avenue Dupont, 85640 Meyer-la-Forêt","Université de Franche-Comté, Besançon",Besançon,False,,,,
133,Yves,Delorme,"8, chemin Camille Seguin, 43524 Royer-sur-Mer","Université de Franche-Comté, Besançon",Besançon,False,,,,
134,Aimée,Rousseau,"11, chemin de Toussaint, 83276 Sainte Théophile","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Renault Clio,5,5
135,Adèle,Baudry,"743, rue de Bernard, 63299 Berthelot-sur-Mer","Université de Franche-Comté, Montbéliard",Montbéliard,True,hybrid,Toyota Prius,5,9
136,Maggie,Perrin,"880, avenue Inès Jacquet, 72135 Delaunay","Université de Franche-Comté, Belfort",Belfort,False,,,,
137,Nathalie,Blot,"85, rue de Imbert, 44363 Brun","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,
138,Margot,Joubert,"47, boulevard de Lombard, 07775 LeleuVille","Université de Franche-Comté, Belfort",Belfort,False,,,,
139,Victor,Berthelot,"311, avenue de Diallo, 19946 Schneider","Université de Franche-Comté, Besançon",Besançon,True,gasoline,Fiat Panda,4,9
140,Danielle,Ferreira,"482, rue Martin, 85545 Barthelemy-la-Forêt","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,
141,Xavier,Leblanc,"avenue Roussel, 36684 Saint Robert-la-Forêt","Université de Franche-Comté, Belfort",Belfort,True,electric,Tesla Model 3,5,9
142,Édouard,Diallo,"836, rue Aubry, 13661 Rémy","Université de Franche-Comté, Besançon",Besançon,False,,,,
143,Corinne,Rossi,"74, rue de Petit, 31558 Vasseur","Université de Franche-Comté, Besançon",Besançon,True,electric,Tesla Model 3,5,9
144,Susan,Gauthier,"68, chemin de Barre, 02510 Schneider","Université de Franche-Comté, Besançon",Besançon,False,,,,
145,Gérard,Gosselin,"17, rue de Dumont, 52824 Saint Théophile","Université de Franche-Comté, Belfort",Belfort,True,hybrid,Toyota Prius,5,9
146,Matthieu,Renard,"775, rue Vaillant, 40445 LeblancVille","Université de Franche-Comté, Belfort",Belfort,True,hybrid,Toyota Prius,5,10
147,Sabine,Perret,"490, avenue de Duhamel, 80334 Garnier","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Fiat Panda,4,8
148,Hugues,Perez,"874, avenue de Valentin, 02978 Leduc","Université de Franche-Comté, Belfort",Belfort,False,,,,
149,Lorraine,Carpentier,"29, boulevard Augustin Letellier, 85301 Vidal","Université de Franche-Comté, Montbéliard",Montbéliard,True,gasoline,Fiat Panda,4,5
150,Danielle,Dupré,"avenue Caroline Laroche, 41321 Leblanc","Université de Franche-Comté, Belfort",Belfort,False,,,,
151,Joseph,Nguyen,"46, avenue de Clerc, 42320 Saint Valentine","Université de Franche-Comté, Montbéliard",Montbéliard,True,gasoline,Audi A4,5,10
152,Louise,Mahe,"88, avenue Anouk Mendès, 82703 Saint WilliamBourg","Université de Franche-Comté, Montbéliard",Montbéliard,True,gasoline,Fiat Panda,4,5
153,Tristan,Turpin,"boulevard Lebon, 78425 Peron","Université de Franche-Comté, Besançon",Besançon,True,diesel,Renault Clio,5,7
154,Capucine,Lefort,"86, boulevard Margaud Letellier, 97674 Chauveau","Université de Franche-Comté, Besançon",Besançon,True,hybrid,Toyota Prius,5,9
155,Thibaut,Rousset,"47, avenue de Mercier, 80418 Paul","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Audi A4,5,8
156,Susan,Grondin,"2, avenue Marcel Maurice, 30257 Schmitt","Université de Franche-Comté, Belfort",Belfort,True,diesel,Peugeot 208,5,6
157,Maryse,Bousquet,"85, avenue Rémy, 20462 Gérard-les-Bains","Université de Franche-Comté, Besançon",Besançon,False,,,,
158,Auguste,Leroy,"95, boulevard Jacquet, 49997 Delattre","Université de Franche-Comté, Montbéliard",Montbéliard,True,gasoline,Audi A4,5,10
159,Anouk,Muller,"chemin Coulon, 95771 Perrier","Université de Franche-Comté, Besançon",Besançon,True,diesel,Peugeot 208,5,9
160,Jules,Joseph,"58, chemin Christelle Brun, 83408 Lebon","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Fiat Panda,4,7
161,Christophe,Marion,"837, boulevard Valentine Hernandez, 20210 Leclercq","Université de Franche-Comté, Belfort",Belfort,False,,,,
162,André,Grenier,"chemin Diane Costa, 51997 Bertrand","Université de Franche-Comté, Besançon",Besançon,False,,,,
163,Luce,Perrot,"34, chemin Martine Guichard, 03858 Saint Henriette-les-Bains","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Renault Clio,5,7
164,Benjamin,David,"46, boulevard de Martinez, 64104 Chrétien-sur-Jean","Université de Franche-Comté, Belfort",Belfort,True,diesel,Peugeot 208,5,4
165,Théophile,Hernandez,"509, rue Dumas, 20550 Duhamel-les-Bains","Université de Franche-Comté, Belfort",Belfort,True,diesel,Renault Clio,5,9
166,Juliette,Lacombe,"322, boulevard de Valentin, 14164 Sainte Cécile-les-Bains","Université de Franche-Comté, Besançon",Besançon,True,diesel,Peugeot 208,5,5
167,Louis,Laporte,"448, boulevard de Fernandes, 20606 Meyer","Université de Franche-Comté, Besançon",Besançon,False,,,,
168,Aurore,Legros,"23, rue de Buisson, 33404 Leconte-les-Bains","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Fiat Panda,4,4
169,Pauline,Masson,"119, rue de Charpentier, 97637 Guérin","Université de Franche-Comté, Besançon",Besançon,False,,,,
170,Simone,Lamy,"2, boulevard David Hamel, 82234 Charpentier-sur-Noël","Université de Franche-Comté, Besançon",Besançon,True,diesel,Peugeot 208,5,5
171,Lucie,Guillot,"62, boulevard Clémence Dumas, 05275 Lemaire","Université de Franche-Comté, Besançon",Besançon,True,electric,Tesla Model 3,5,7
172,René,Boutin,"635, rue de Rocher, 16639 Lesage","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Renault Clio,5,9
173,Gabrielle,Nguyen,"3, rue Le Gall, 12351 Auger-sur-Pineau","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,
174,Frédérique,Briand,"boulevard Salmon, 78217 Saint Gilbertboeuf","Université de Franche-Comté, Besançon",Besançon,True,hybrid,Toyota Prius,5,4
175,Chantal,Lucas,"4, chemin de Faivre, 53463 Boyer","Université de Franche-Comté, Besançon",Besançon,True,gasoline,Audi A4,5,6
176,Josette,Hervé,"41, chemin de Lebrun, 97277 Pires-la-Forêt","Université de Franche-Comté, Montbéliard",Montbéliard,True,electric,Tesla Model 3,5,6
177,Adélaïde,Jacques,"627, chemin Audrey Valentin, 23698 Lemonnier-sur-Blanchard","Université de Franche-Comté, Belfort",Belfort,False,,,,
178,Noël,Duval,"8, rue de Bigot, 52669 Joubert","Université de Franche-Comté, Besançon",Besançon,True,diesel,Peugeot 208,5,5
179,Georges,Langlois,"714, avenue Marin, 79482 Sainte ChristopheBourg","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Audi A4,5,8
180,Christophe,Mary,"86, boulevard de Blondel, 22442 Sainte Josettenec","Université de Franche-Comté, Besançon",Besançon,True,diesel,Peugeot 208,5,4
181,Inès,Mendès,"47, rue Delannoy, 61881 Coulon","Université de Franche-Comté, Besançon",Besançon,True,gasoline,Fiat Panda,4,8
182,Paul,Gonzalez,"78, avenue Denis Hardy, 35413 Bonnet","Université de Franche-Comté, Belfort",Belfort,False,,,,
183,Margot,Bourgeois,"52, chemin de Arnaud, 32625 Bodin","Université de Franche-Comté, Montbéliard",Montbéliard,True,gasoline,Audi A4,5,5
184,Honoré,Charles,"59, rue Munoz, 84943 Étienne","Université de Franche-Comté, Belfort",Belfort,True,electric,Tesla Model 3,5,4
185,Franck,Descamps,"6, boulevard de Fernandez, 97464 Lecoq-sur-Mer","Université de Franche-Comté, Belfort",Belfort,False,,,,
186,Pénélope,Gallet,"100, rue de Gilbert, 19507 Sainte Arnaudeboeuf","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,
187,Aurore,Lebon,"38, rue Baron, 20157 Saint Nathalie","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,
188,Arnaude,Blanchet,"4, chemin Ramos, 69540 Hoarau","Université de Franche-Comté, Besançon",Besançon,True,diesel,Peugeot 208,5,9
189,Emmanuelle,Briand,"31, rue Manon Langlois, 75413 Bègue-sur-Mer","Université de Franche-Comté, Besançon",Besançon,True,gasoline,Audi A4,5,5
190,William,Boyer,"178, rue Michelle Bodin, 97427 Renaud","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Renault Clio,5,9
191,Amélie,Collin,"8, boulevard Bertrand, 51260 Leduc-sur-Meyer","Université de Franche-Comté, Besançon",Besançon,False,,,,
192,Étienne,Fabre,"42, chemin de Michel, 44911 Saint DanielBourg","Université de Franche-Comté, Belfort",Belfort,True,diesel,Renault Clio,5,8
