mission_id,person_id,start_city,end_city,start_date,end_date,event,real_move,travel_type,vehicle_type,is_return_trip,km,parking_cost,hotel_cost,plane_cost,reimbursement,total_cost,nearest_airport,first_name,last_name,home_address,admin_address,admin_city,has_car,car_type_x,car_model,car_capacity,fiscal_hp,car_type_y,co2_per_km,energy_per_km,start_hour,cluster_agnes
34,34,Montbéliard,Nice,2025-05-06 13:00:00,2025-05-09 16:15:00,Meeting,True,plane,,0,124,0,300,120,56,476,Basel-Mulhouse,Jeanne,Guillet,"772, rue de Klein, 51450 Gilles","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Renault Clio,5.0,8.0,diesel,0.16,,13,8
35,35,Belfort,Nice,2025-05-05 10:00:00,2025-05-08 11:15:00,Training,True,plane,,0,327,0,300,120,117,537,Basel-Mulhouse,Gabriel,Cohen,"69, rue Gautier, 32140 Arnaud","Université de Franche-Comté, Belfort",Belfort,True,diesel,Renault Clio,5.0,4.0,diesel,0.16,,10,8
36,36,Montbéliard,Lyon,2025-05-09 20:15:00,2025-05-10 06:15:00,Training,True,car,Fiat Panda,1,618,10,100,0,70,180,,Brigitte,Boucher,"56, chemin de Perrin, 48946 Sainte Alice-la-Forêt","Université de Franche-Comté, Montbéliard",Montbéliard,True,gasoline,Fiat Panda,4.0,10.0,gasoline,0.17,,20,1
37,37,Montbéliard,Dijon,2025-05-01 06:45:00,2025-05-03 16:00:00,Training,True,car,Renault Clio,0,180,20,200,0,144,364,,Juliette,Raymond,"rue Alix Moreno, 89788 Meunier-les-Bains","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Renault Clio,5.0,8.0,diesel,0.16,,6,8
38,38,Belfort,Dijon,2025-05-06 08:45:00,2025-05-07 19:15:00,Conference,True,plane,,0,479,0,100,120,137,357,Basel-Mulhouse,Aurore,Richard,"10, boulevard Maury, 86260 Rousseau-sur-Mer","Université de Franche-Comté, Belfort",Belfort,False,,,,,,,,8,6
39,39,Belfort,Strasbourg,2025-05-02 20:30:00,2025-05-03 17:30:00,Meeting,True,plane,,1,264,0,100,120,57,277,Basel-Mulhouse,Étienne,Hoareau,"28, boulevard de Perrot, 90623 Techer-sur-Mer","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Audi A4,5.0,4.0,gasoline,0.185,,20,2
40,40,Montbéliard,Dijon,2025-05-04 06:45:00,2025-05-05 07:30:00,Meeting,True,plane,,0,188,0,100,120,121,341,Basel-Mulhouse,Astrid,Louis,"96, boulevard de Lamy, 40682 Huet-les-Bains","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,,,,,6,8
41,41,Belfort,Nice,2025-05-09 06:45:00,2025-05-11 15:15:00,Meeting,True,car,Renault Clio,1,136,20,200,0,73,293,,Alexandre,Nicolas,"41, avenue de Guillaume, 47749 Fabre-la-Forêt","Université de Franche-Comté, Belfort",Belfort,True,diesel,Renault Clio,5.0,6.0,diesel,0.16,,6,2
42,42,Besançon,Paris,2025-05-07 17:30:00,2025-05-10 08:15:00,Meeting,True,plane,,0,674,0,300,120,132,552,Dole-Jura,Emmanuelle,Marty,"6, rue Weber, 50274 Maillotboeuf","Université de Franche-Comté, Besançon",Besançon,False,,,,,,,,17,6
43,43,Montbéliard,Toulouse,2025-05-04 14:45:00,2025-05-06 20:30:00,Conference,True,car,,1,106,20,200,0,100,320,,Alfred,Andre,"14, rue Élisabeth Riou, 05385 Gautierboeuf","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,,,,,14,2
44,44,Besançon,Paris,2025-05-11 10:00:00,2025-05-14 06:30:00,Training,True,car,Audi A4,1,744,30,300,0,79,409,,Hortense,Benard,"7, avenue Hamel, 33966 Sainte Éléonore-la-Forêt","Université de Franche-Comté, Besançon",Besançon,True,gasoline,Audi A4,5.0,6.0,gasoline,0.185,,10,1
45,45,Belfort,Lyon,2025-05-04 09:15:00,2025-05-06 20:15:00,Conference,True,plane,,0,507,0,200,120,60,380,Basel-Mulhouse,Danielle,Léger,"74, rue Charles Navarro, 95376 Bazin-sur-Humbert","Université de Franche-Comté, Belfort",Belfort,False,,,,,,,,9,6
46,46,Montbéliard,Toulouse,2025-05-04 18:15:00,2025-05-05 09:45:00,Training,True,car,Audi A4,0,711,10,100,0,114,224,,Gilles,Barthelemy,"45, rue Céline Legros, 36234 Leroy","Université de Franche-Comté, Montbéliard",Montbéliard,True,gasoline,Audi A4,5.0,8.0,gasoline,0.185,,18,3
47,47,Besançon,Toulouse,2025-05-01 07:45:00,2025-05-02 17:30:00,Training,True,car,Peugeot 208,0,383,10,100,0,148,258,,Patricia,Rocher,"64, rue Delorme, 26269 Étienneboeuf","Université de Franche-Comté, Besançon",Besançon,True,diesel,Peugeot 208,5.0,9.0,diesel,0.155,,7,5
48,48,Belfort,Lyon,2025-05-08 11:45:00,2025-05-10 08:30:00,Training,True,plane,,1,208,0,200,120,59,379,Basel-Mulhouse,David,Henry,"95, rue Claude Labbé, 59337 Diallo-sur-Collin","Université de Franche-Comté, Belfort",Belfort,False,,,,,,,,11,4
49,49,Belfort,Dijon,2025-05-10 13:00:00,2025-05-11 15:45:00,Training,True,plane,,0,789,0,100,120,67,287,Basel-Mulhouse,Adélaïde,Lambert,"33, rue de Laporte, 63764 Leroy","Université de Franche-Comté, Belfort",Belfort,True,hybrid,Toyota Prius,5.0,6.0,hybrid,0.1,,13,3
50,50,Belfort,Dijon,2025-05-05 18:30:00,2025-05-07 06:15:00,Meeting,True,plane,,1,353,0,200,120,150,470,Basel-Mulhouse,Philippine,Lecomte,"65, chemin de Ollivier, 70379 Cordier","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Audi A4,5.0,4.0,gasoline,0.185,,18,4
51,51,Besançon,Paris,2025-05-03 20:30:00,2025-05-06 15:00:00,Meeting,True,plane,,1,174,0,300,120,62,482,Dole-Jura,Jean,Turpin,"8, chemin de Julien, 57834 Marchal","Université de Franche-Comté, Besançon",Besançon,False,,,,,,,,20,4
52,52,Belfort,Strasbourg,2025-05-06 12:15:00,2025-05-09 09:00:00,Training,True,plane,,0,732,0,300,120,132,552,Basel-Mulhouse,Alain,Jacquet,"96, rue Lorraine Simon, 80728 Saint Suzannenec","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Fiat Panda,4.0,9.0,gasoline,0.17,,12,6
53,53,Belfort,Marseille,2025-05-06 07:15:00,2025-05-07 20:00:00,Training,True,plane,,0,198,0,100,120,100,320,Basel-Mulhouse,Mathilde,Meunier,"14, rue de Boulay, 90269 Chevallier-sur-Millet","Université de Franche-Comté, Belfort",Belfort,True,hybrid,Toyota Prius,5.0,5.0,hybrid,0.1,,7,5
54,54,Belfort,Strasbourg,2025-05-09 18:30:00,2025-05-11 14:45:00,Conference,True,plane,,0,128,0,200,120,150,470,Basel-Mulhouse,Juliette,Maillot,"45, rue Dupont, 22154 Devaux","Université de Franche-Comté, Belfort",Belfort,True,hybrid,Toyota Prius,5.0,8.0,hybrid,0.1,,18,0
55,55,Belfort,Paris,2025-05-04 13:15:00,2025-05-05 19:45:00,Meeting,True,plane,,1,318,0,100,120,120,340,Basel-Mulhouse,Édouard,De Sousa,"21, avenue Letellier, 01917 Martins-les-Bains","Université de Franche-Comté, Belfort",Belfort,True,diesel,Renault Clio,5.0,7.0,diesel,0.16,,13,2
56,56,Besançon,Strasbourg,2025-05-07 20:30:00,2025-05-10 10:15:00,Meeting,True,car,Peugeot 208,1,253,30,300,0,73,403,,Maggie,Weiss,"34, avenue Victor Dias, 88211 Saint Alfred-la-Forêt","Université de Franche-Comté, Besançon",Besançon,True,diesel,Peugeot 208,5.0,7.0,diesel,0.155,,20,4
57,57,Montbéliard,Nice,2025-05-05 06:15:00,2025-05-08 14:45:00,Conference,True,car,,0,480,30,300,0,105,435,,Roger,Blanc,"63, rue Jules Andre, 49463 Moreaunec","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,,,,,6,6
58,58,Montbéliard,Marseille,2025-05-04 07:30:00,2025-05-06 12:30:00,Conference,True,car,Peugeot 208,1,171,20,200,0,91,311,,Luc,Letellier,"rue Augustin Traore, 76587 Guichard","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Peugeot 208,5.0,5.0,diesel,0.155,,7,2
59,59,Montbéliard,Nice,2025-05-02 09:45:00,2025-05-04 15:30:00,Conference,True,plane,,1,307,0,200,120,129,449,Basel-Mulhouse,Maggie,Lombard,"59, rue de Grenier, 28853 Henry-sur-Mer","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Renault Clio,5.0,10.0,diesel,0.16,,9,4
60,60,Besançon,Dijon,2025-05-02 07:45:00,2025-05-04 14:30:00,Meeting,True,car,Fiat Panda,1,104,20,200,0,112,332,,Joséphine,Bernier,"rue Masse, 01502 Monnier","Université de Franche-Comté, Besançon",Besançon,True,gasoline,Fiat Panda,4.0,4.0,gasoline,0.17,,7,2
61,61,Montbéliard,Strasbourg,2025-05-10 14:30:00,2025-05-12 17:45:00,Meeting,True,plane,,0,110,0,200,120,98,418,Basel-Mulhouse,Audrey,Julien,"rue de Joseph, 63974 Renaud","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,,,,,14,8
62,62,Belfort,Strasbourg,2025-05-04 12:15:00,2025-05-07 16:30:00,Training,True,car,,0,387,30,300,0,54,384,,Jeannine,Morvan,"70, rue de Roux, 20708 Sainte Hugues","Université de Franche-Comté, Belfort",Belfort,False,,,,,,,,12,6
63,63,Montbéliard,Toulouse,2025-05-01 19:00:00,2025-05-04 11:15:00,Meeting,True,car,,0,578,30,300,0,137,467,,Josette,Marie,"84, boulevard André Guillaume, 91816 Saint Denis-sur-Mer","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,,,,,19,6
64,64,Belfort,Lyon,2025-05-09 11:45:00,2025-05-11 15:45:00,Training,True,car,,1,602,20,200,0,133,353,,Matthieu,Jacquot,"97, avenue de Chauvet, 78472 Bourdon","Université de Franche-Comté, Belfort",Belfort,False,,,,,,,,11,1
65,65,Montbéliard,Nice,2025-05-01 07:00:00,2025-05-04 13:00:00,Conference,True,car,Fiat Panda,1,610,30,300,0,134,464,,Patricia,Grondin,"2, rue Gilles Moulin, 80359 Gosselin-la-Forêt","Université de Franche-Comté, Montbéliard",Montbéliard,True,gasoline,Fiat Panda,4.0,8.0,gasoline,0.17,,7,1
66,66,Montbéliard,Strasbourg,2025-05-10 12:15:00,2025-05-13 08:00:00,Training,True,plane,,0,115,0,300,120,106,526,Basel-Mulhouse,Clémence,Grondin,"5, boulevard de Dupont, 82322 Rousseau","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Peugeot 208,5.0,7.0,diesel,0.155,,12,8
67,67,Montbéliard,Paris,2025-05-06 15:00:00,2025-05-07 09:00:00,Training,True,car,Toyota Prius,0,692,10,100,0,87,197,,Audrey,Blot,"68, boulevard de Laroche, 20223 Boucher","Université de Franche-Comté, Montbéliard",Montbéliard,True,hybrid,Toyota Prius,5.0,10.0,hybrid,0.1,,15,3
68,68,Montbéliard,Toulouse,2025-05-11 18:00:00,2025-05-13 13:15:00,Meeting,True,car,,0,793,20,200,0,123,343,,Gabriel,Bourdon,"22, chemin de Royer, 58401 Gérard","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,,,,,18,3
69,69,Montbéliard,Toulouse,2025-05-11 18:30:00,2025-05-12 10:15:00,Meeting,True,car,,1,242,10,100,0,54,164,,Yves,Pruvost,"6, boulevard Chauvet, 56229 GautierBourg","Université de Franche-Comté, Montbéliard",Montbéliard,False,,,,,,,,18,2
70,70,Montbéliard,Strasbourg,2025-05-07 12:00:00,2025-05-08 13:00:00,Conference,True,plane,,1,457,0,100,120,138,358,Basel-Mulhouse,Lucie,Traore,"5, rue de Pons, 85910 Saint Hélène","Université de Franche-Comté, Montbéliard",Montbéliard,True,diesel,Peugeot 208,5.0,8.0,diesel,0.155,,12,2
71,71,Belfort,Marseille,2025-05-01 08:00:00,2025-05-02 11:45:00,Meeting,True,car,,1,684,10,100,0,68,178,,Laurent,Vallée,"chemin Lelièvre, 11298 Bertin-les-Bains","Université de Franche-Comté, Belfort",Belfort,False,,,,,,,,8,1
72,72,Besançon,Strasbourg,2025-05-02 15:00:00,2025-05-04 16:00:00,Meeting,True,car,Fiat Panda,0,180,20,200,0,101,321,,Virginie,Petitjean,"chemin Jeannine Legrand, 78229 Fernandes-sur-Blanc","Université de Franche-Comté, Besançon",Besançon,True,gasoline,Fiat Panda,4.0,7.0,gasoline,0.17,,15,8
73,73,Besançon,Marseille,2025-05-04 14:00:00,2025-05-05 15:15:00,Meeting,True,plane,,0,488,0,100,120,61,281,Dole-Jura,Anaïs,Grondin,"chemin Robert Techer, 08588 Chauvet","Université de Franche-Comté, Besançon",Besançon,False,,,,,,,,14,5
74,74,Belfort,Marseille,2025-05-11 10:15:00,2025-05-14 11:45:00,Conference,True,plane,,0,701,0,300,120,128,548,Basel-Mulhouse,Michelle,Rodriguez,"33, rue Dominique Bouvet, 20810 Sainte Éléonore","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Fiat Panda,4.0,6.0,gasoline,0.17,,10,6
75,75,Montbéliard,Marseille,2025-05-11 13:45:00,2025-05-14 19:15:00,Training,True,plane,,0,669,0,300,120,103,523,Basel-Mulhouse,Stéphanie,Ledoux,"866, chemin Marc Lefort, 67503 Marchand","Université de Franche-Comté, Montbéliard",Montbéliard,True,hybrid,Toyota Prius,5.0,7.0,hybrid,0.1,,13,0
76,76,Belfort,Strasbourg,2025-05-11 20:45:00,2025-05-13 14:30:00,Conference,True,car,Peugeot 208,0,748,20,200,0,93,313,,Élodie,Legrand,"571, avenue Langlois, 89995 Saint Jérôme","Université de Franche-Comté, Belfort",Belfort,True,diesel,Peugeot 208,5.0,5.0,diesel,0.155,,20,3
77,77,Belfort,Dijon,2025-05-11 09:30:00,2025-05-12 10:15:00,Meeting,True,plane,,0,193,0,100,120,100,320,Basel-Mulhouse,Nathalie,Legros,"16, rue Susanne Lenoir, 87121 Antoine","Université de Franche-Comté, Belfort",Belfort,True,electric,Tesla Model 3,5.0,7.0,electric,0.03,0.15,9,0
78,78,Belfort,Strasbourg,2025-05-05 12:45:00,2025-05-08 11:15:00,Meeting,True,car,Tesla Model 3,0,128,30,300,0,68,398,,Éric,Neveu,"chemin Tanguy, 41311 Sainte Louise","Université de Franche-Comté, Belfort",Belfort,True,electric,Tesla Model 3,5.0,10.0,electric,0.03,0.15,12,0
79,79,Montbéliard,Marseille,2025-05-11 20:45:00,2025-05-14 10:30:00,Meeting,True,plane,,0,471,0,300,120,103,523,Basel-Mulhouse,Richard,Petit,"272, boulevard Vidal, 10838 Chrétienboeuf","Université de Franche-Comté, Montbéliard",Montbéliard,True,gasoline,Audi A4,5.0,10.0,gasoline,0.185,,20,6
80,80,Belfort,Dijon,2025-05-08 11:00:00,2025-05-10 09:45:00,Training,True,car,Audi A4,1,335,20,200,0,58,278,,Henriette,Mendès,"319, avenue Bernard Delorme, 43162 Lambert-sur-Leconte","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Audi A4,5.0,5.0,gasoline,0.185,,11,2
81,81,Belfort,Lyon,2025-05-06 13:15:00,2025-05-07 20:15:00,Meeting,True,plane,,1,438,0,100,120,76,296,Basel-Mulhouse,Léon,Rodrigues,"64, boulevard Brunel, 64259 Jacques","Université de Franche-Comté, Belfort",Belfort,False,,,,,,,,13,2
82,82,Belfort,Toulouse,2025-05-10 06:00:00,2025-05-11 08:00:00,Meeting,True,car,Peugeot 208,1,377,10,100,0,93,203,,Martin,Poulain,"7, rue Clément, 86879 Da Silva-sur-Besson","Université de Franche-Comté, Belfort",Belfort,True,diesel,Peugeot 208,5.0,8.0,diesel,0.155,,6,2
83,83,Belfort,Paris,2025-05-05 13:15:00,2025-05-08 11:45:00,Conference,True,car,Fiat Panda,1,410,30,300,0,119,449,,Lucas,Royer,"1, avenue Richard Aubry, 29905 Sainte Anne","Université de Franche-Comté, Belfort",Belfort,True,gasoline,Fiat Panda,4.0,10.0,gasoline,0.17,,13,4
84,84,Besançon,Marseille,2025-05-11 17:45:00,2025-05-12 19:30:00,Meeting,True,car,Tesla Model 3,1,674,10,100,0,149,259,,Théodore,Ferrand,"11, boulevard de Prévost, 27360 Jean-sur-Mer","Université de Franche-Comté, Besançon",Besançon,True,electric,Tesla Model 3,5.0,5.0,electric,0.03,0.15,17,7
85,85,Besançon,Nice,2025-05-10 19:00:00,2025-05-11 18:00:00,Training,True,plane,,1,589,0,100,120,137,357,Dole-Jura,Juliette,Ramos,"3, rue Zoé Denis, 65432 Rouxnec","Université de Franche-Comté, Besançon",Besançon,False,,,,,,,,19,1
86,86,Belfort,Toulouse,2025-05-09 20:00:00,2025-05-10 13:45:00,Meeting,True,car,,1,271,10,100,0,142,252,,Adrienne,Dubois,"47, chemin Maillard, 45425 Gillet-sur-Hamel","Université de Franche-Comté, Belfort",Belfort,False,,,,,,,,20,2
